market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
한국주식,068270,2,100.0000,0.4662,1.7867,100.0000,0.0000,0.0000,-0.6919,이벤트 변동성 미반영,increase_atr_range,keep,lower_tp1_target,0
한국주식,079550,2,100.0000,0.3260,3.0323,100.0000,100.0000,0.0000,-3.6743,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,5
한국주식,086520,2,100.0000,0.9371,7.2485,100.0000,100.0000,0.0000,-2.8770,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,10
한국주식,086790,2,0.0000,1.2351,6.9609,100.0000,100.0000,0.0000,-1.9071,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,090360,2,100.0000,8.6285,7.1967,0.0000,0.0000,100.0000,,갭상승 과소평가,increase_atr_range,move_entry_closer_to_tradeable_range,keep,5
한국주식,095340,2,0.0000,0.5333,10.8342,100.0000,100.0000,0.0000,-3.0817,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,10120,2,0.0000,3.0767,5.8894,0.0000,0.0000,0.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
한국주식,11070,2,100.0000,0.1685,2.2177,100.0000,0.0000,0.0000,0.8112,익절 목표 과도,keep,keep,lower_tp1_target,0
한국주식,15760,2,0.0000,1.0705,5.1657,0.0000,0.0000,0.0000,,익절 목표 과도,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
한국주식,3490,2,100.0000,0.7031,1.0596,0.0000,0.0000,0.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
한국주식,36930,2,0.0000,2.0836,5.8849,0.0000,0.0000,0.0000,,진입가 비현실적,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,15
한국주식,42700,2,0.0000,3.3419,5.5539,100.0000,0.0000,0.0000,0.0933,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
한국주식,47810,2,0.0000,1.4802,3.4170,0.0000,0.0000,0.0000,,익절 목표 과도,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,10
한국주식,5380,2,0.0000,0.7328,4.4411,100.0000,0.0000,0.0000,-1.7475,익절 목표 과도,increase_atr_range,keep,lower_tp1_target,15
한국주식,58470,2,0.0000,2.0859,5.5911,100.0000,100.0000,0.0000,-3.7879,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,6260,2,100.0000,1.5904,2.7208,0.0000,0.0000,0.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
한국주식,6360,2,100.0000,1.8553,0.3453,0.0000,0.0000,0.0000,,진입가 비현실적,keep,move_entry_closer_to_tradeable_range,lower_tp1_target,0
한국주식,660,2,0.0000,1.4972,3.5495,0.0000,0.0000,0.0000,,익절 목표 과도,increase_atr_range,move_entry_closer_to_tradeable_range,lower_tp1_target,10
